stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Melks\source\repos\Cerebrolab\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.01761] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01765] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01770] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01773] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01778] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01782] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01787] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01791] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01795] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01799] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01804] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01815] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01820] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01824] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01829] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01833] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01837] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01841] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01846] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01850] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01854] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01858] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01863] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01866] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01871] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01875] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01880] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01884] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01888] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01892] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01897] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01901] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01905] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01909] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01914] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01918] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01922] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01926] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01931] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01935] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01940] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01952] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01956] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01961] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01965] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01970] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01974] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01978] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01982] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01987] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01996] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02000] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02004] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02008] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02013] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02017] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02021] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02025] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02030] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02034] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02038] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02042] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02047] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02051] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02055] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02059] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02064] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02067] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02072] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02076] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02081] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02090] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02095] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02099] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02104] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02107] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02112] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02116] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02120] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02124] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02129] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02133] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02137] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02141] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02146] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02150] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.02154] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.02158] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02163] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02167] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02171] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02175] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02180] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02184] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02189] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02193] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02197] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02201] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02206] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02210] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02214] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02218] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02223] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02227] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02232] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02236] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02240] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02244] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02249] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02253] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02258] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02261] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02266] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02270] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02275] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02279] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02283] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02287] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02292] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.02298] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.02333] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.02340] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.04365] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.05437] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.05447] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.05454] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.05462] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.05469] Returning d3d_display: 0000020FED57A460
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.05473] al_display=0000020FED57A460
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.05478] al_display->vt=0000020FED57A2B0
dtor     D               dtor.c:196  _al_register_destructor          [   0.05504] added dtor for bitmap 0000020FED60E210, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.05600] added dtor for bitmap 0000020FED60E400, func 00007FFDACBF1190
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06239] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06248] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06253] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06258] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06263] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06267] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06271] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06275] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.06278] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.06282] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.06286] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.06290] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.06294] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.06333] added dtor for bitmap 0000020FED60E930, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06681] added dtor for sub_bitmap 0000020FED60EB20, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06691] added dtor for sub_bitmap 0000020FED60ED10, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06696] added dtor for sub_bitmap 0000020FF21F18A0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06701] added dtor for sub_bitmap 0000020FF21F1A90, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06706] added dtor for sub_bitmap 0000020FF21F1C80, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06710] added dtor for sub_bitmap 0000020FF21F1E70, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06715] added dtor for sub_bitmap 0000020FF21F2060, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06720] added dtor for sub_bitmap 0000020FF21F2250, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06725] added dtor for sub_bitmap 0000020FF21F2440, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06729] added dtor for sub_bitmap 0000020FF21F2630, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06734] added dtor for sub_bitmap 0000020FF21F2820, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06738] added dtor for sub_bitmap 0000020FF21F2A10, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06743] added dtor for sub_bitmap 0000020FF21F2C00, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06748] added dtor for sub_bitmap 0000020FF21F2DF0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06753] added dtor for sub_bitmap 0000020FF21F3DC0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06758] added dtor for sub_bitmap 0000020FF21F37F0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06763] added dtor for sub_bitmap 0000020FF21F3030, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06767] added dtor for sub_bitmap 0000020FF21F3220, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06772] added dtor for sub_bitmap 0000020FF21F3410, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06776] added dtor for sub_bitmap 0000020FF21F3600, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06781] added dtor for sub_bitmap 0000020FF21F39E0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06786] added dtor for sub_bitmap 0000020FF21F3BD0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06792] added dtor for sub_bitmap 0000020FF21F5970, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06797] added dtor for sub_bitmap 0000020FF21F4420, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06802] added dtor for sub_bitmap 0000020FF21F4800, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06807] added dtor for sub_bitmap 0000020FF21F4040, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06812] added dtor for sub_bitmap 0000020FF21F5B60, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06816] added dtor for sub_bitmap 0000020FF21F5D50, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06824] added dtor for sub_bitmap 0000020FF21F5780, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06831] added dtor for sub_bitmap 0000020FF21F4BE0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06836] added dtor for sub_bitmap 0000020FF21F4230, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06841] added dtor for sub_bitmap 0000020FF21F4610, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06846] added dtor for sub_bitmap 0000020FF21F49F0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06851] added dtor for sub_bitmap 0000020FF21F4DD0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06856] added dtor for sub_bitmap 0000020FF21F4FC0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06860] added dtor for sub_bitmap 0000020FF21F51B0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06865] added dtor for sub_bitmap 0000020FF21F53A0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06869] added dtor for sub_bitmap 0000020FF21F5590, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06880] added dtor for sub_bitmap 0000020FF21F7060, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06885] added dtor for sub_bitmap 0000020FF21F87A0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06889] added dtor for sub_bitmap 0000020FF21F7FE0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06894] added dtor for sub_bitmap 0000020FF21F7DF0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06899] added dtor for sub_bitmap 0000020FF21F7250, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06904] added dtor for sub_bitmap 0000020FF21F7440, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06909] added dtor for sub_bitmap 0000020FF21F8B80, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06913] added dtor for sub_bitmap 0000020FF21F7630, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06918] added dtor for sub_bitmap 0000020FF21F81D0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06923] added dtor for sub_bitmap 0000020FF21F83C0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06928] added dtor for sub_bitmap 0000020FF21F7A10, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06933] added dtor for sub_bitmap 0000020FF21F7820, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06937] added dtor for sub_bitmap 0000020FF21F85B0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06942] added dtor for sub_bitmap 0000020FF21F8990, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06946] added dtor for sub_bitmap 0000020FF21F8D70, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06951] added dtor for sub_bitmap 0000020FF21F7C00, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06957] added dtor for sub_bitmap 0000020FF21FBD90, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06962] added dtor for sub_bitmap 0000020FF21FAC20, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06966] added dtor for sub_bitmap 0000020FF21FAA30, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06971] added dtor for sub_bitmap 0000020FF21FA080, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06976] added dtor for sub_bitmap 0000020FF21FA270, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06980] added dtor for sub_bitmap 0000020FF21FA650, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06985] added dtor for sub_bitmap 0000020FF21FB5D0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06990] added dtor for sub_bitmap 0000020FF21FBBA0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06994] added dtor for sub_bitmap 0000020FF21FAE10, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06999] added dtor for sub_bitmap 0000020FF21FA460, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07004] added dtor for sub_bitmap 0000020FF21FB3E0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07009] added dtor for sub_bitmap 0000020FF21FA840, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07014] added dtor for sub_bitmap 0000020FF21FB000, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07018] added dtor for sub_bitmap 0000020FF21FB1F0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07023] added dtor for sub_bitmap 0000020FF21FB7C0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07028] added dtor for sub_bitmap 0000020FF21FB9B0, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07034] added dtor for sub_bitmap 0000020FF21FDE50, func 00007FFDACBF1190
dtor     D               dtor.c:196  _al_register_destructor          [   0.07038] added dtor for sub_bitmap 0000020FF21FEDD0, func 00007FFDACBF1190
